Release 8.1i - Fit P.68d
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4-19-2015  9:43AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  GBAPIIPlusPlus.ngd
output file: GBAPIIPlusPlus_pad.csv
Part type:   xc95144xl
Speed grade: -5
Package:     tq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,DA<5>,I/O,I/O/GTS3,BIDIR,,,,,,,,,
P2,TIE,,I/O/GTS4,,,,,,,,,,
P3,DA<6>,I/O,I/O/GTS1,BIDIR,,,,,,,,,
P4,DA<4>,I/O,I/O/GTS2,BIDIR,,,,,,,,,
P5,VCC,,VCCINT,,,,,,,,,,
P6,DA<7>,I/O,I/O,BIDIR,,,,,,,,,
P7,TIE,,I/O,,,,,,,,,,
P8,DA<3>,I/O,I/O,BIDIR,,,,,,,,,
P9,DA<8>,I/O,I/O,BIDIR,,,,,,,,,
P10,DA<2>,I/O,I/O,BIDIR,,,,,,,,,
P11,DA<9>,I/O,I/O,BIDIR,,,,,,,,,
P12,DA<1>,I/O,I/O,BIDIR,,,,,,,,,
P13,DA<10>,I/O,I/O,BIDIR,,,,,,,,,
P14,DA<0>,I/O,I/O,BIDIR,,,,,,,,,
P15,DA<11>,I/O,I/O,BIDIR,,,,,,,,,
P16,UDS,I,I/O,INPUT,,,,,,,,,
P17,DA<12>,I/O,I/O,BIDIR,,,,,,,,,
P18,LDS,I,I/O,INPUT,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,DA<13>,I/O,I/O,BIDIR,,,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,mclk,GCK,I/O/GCK1,,,,,,,,,,
P23,AS,GCK/I,I/O/GCK2,,,,,,,,,,
P24,RW,I,I/O,INPUT,,,,,,,,,
P25,DA<14>,I/O,I/O,BIDIR,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,DTACK,O,I/O/GCK3,OUTPUT,,,,,,,,,
P28,DA<15>,I/O,I/O,BIDIR,,,,,,,,,
P29,A<23>,I,I/O,INPUT,,,,,,,,,
P30,A<21>,I,I/O,INPUT,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,A<22>,I,I/O,INPUT,,,,,,,,,
P33,A<20>,I,I/O,INPUT,,,,,,,,,
P34,TIE,,I/O,,,,,,,,,,
P35,A<19>,I,I/O,INPUT,,,,,,,,,
P36,A<18>,I,I/O,INPUT,,,,,,,,,
P37,A<17>,I,I/O,INPUT,,,,,,,,,
P38,VCC,,VCCIO,,,,,,,,,,
P39,BERR,I,I/O,INPUT,,,,,,,,,
P40,A<16>,I,I/O,INPUT,,,,,,,,,
P41,A<15>,I,I/O,INPUT,,,,,,,,,
P42,A<12>,I,I/O,INPUT,,,,,,,,,
P43,TIE,,I/O,,,,,,,,,,
P44,GND,,GND,,,,,,,,,,
P45,TDI,,TDI,,,,,,,,,,
P46,A<1>,I,I/O,INPUT,,,,,,,,,
P47,TMS,,TMS,,,,,,,,,,
P48,TCK,,TCK,,,,,,,,,,
P49,OVR,O,I/O,OUTPUT,,,,,,,,,
P50,A<2>,I,I/O,INPUT,,,,,,,,,
P51,VCC,,VCCIO,,,,,,,,,,
P52,A<3>,I,I/O,INPUT,,,,,,,,,
P53,A<4>,I,I/O,INPUT,,,,,,,,,
P54,A<6>,I,I/O,INPUT,,,,,,,,,
P55,A<5>,I,I/O,INPUT,,,,,,,,,
P56,XRDYD,O,I/O,OUTPUT,,,,,,,,,
P57,VCC,,VCCINT,,,,,,,,,,
P58,CFGIN,I,I/O,INPUT,,,,,,,,,
P59,CFGOUT,O,I/O,OUTPUT,,,,,,,,,
P60,SLAVE,O,I/O,OUTPUT,,,,,,,,,
P61,MONISW,O,I/O,OUTPUT,,,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,DG<8>,I/O,I/O,BIDIR,,,,,,,,,
P64,DG<9>,I/O,I/O,BIDIR,,,,,,,,,
P65,DG<10>,I/O,I/O,BIDIR,,,,,,,,,
P66,DG<11>,I/O,I/O,BIDIR,,,,,,,,,
P67,DG<12>,I/O,I/O,BIDIR,,,,,,,,,
P68,DG<13>,I/O,I/O,BIDIR,,,,,,,,,
P69,GND,,GND,,,,,,,,,,
P70,DG<14>,I/O,I/O,BIDIR,,,,,,,,,
P71,DG<15>,I/O,I/O,BIDIR,,,,,,,,,
P72,DG<0>,I/O,I/O,BIDIR,,,,,,,,,
P73,TIE,,I/O,,,,,,,,,,
P74,DG<1>,I/O,I/O,BIDIR,,,,,,,,,
P75,GND,,GND,,,,,,,,,,
P76,IO<3>,O,I/O,OUTPUT,,,,,,,,,
P77,TIE,,I/O,,,,,,,,,,
P78,TIE,,I/O,,,,,,,,,,
P79,DG<5>,I/O,I/O,BIDIR,,,,,,,,,
P80,TIE,,I/O,,,,,,,,,,
P81,DG<6>,I/O,I/O,BIDIR,,,,,,,,,
P82,DG<7>,I/O,I/O,BIDIR,,,,,,,,,
P83,TDO,,TDO,,,,,,,,,,
P84,GND,,GND,,,,,,,,,,
P85,DG<4>,I/O,I/O,BIDIR,,,,,,,,,
P86,DG<3>,I/O,I/O,BIDIR,,,,,,,,,
P87,DG<2>,I/O,I/O,BIDIR,,,,,,,,,
P88,VCC,,VCCIO,,,,,,,,,,
P89,MEMW,O,I/O,OUTPUT,,,,,,,,,
P90,MEMR,O,I/O,OUTPUT,,,,,,,,,
P91,IOR,O,I/O,OUTPUT,,,,,,,,,
P92,CLRG,O,I/O,OUTPUT,,,,,,,,,
P93,WAIT,I,I/O,INPUT,,,,,,,,,
P94,BALE,O,I/O,OUTPUT,,,,,,,,,
P95,IOW,O,I/O,OUTPUT,,,,,,,,,
P96,SA12,O,I/O,OUTPUT,,,,,,,,,
P97,SA0,O,I/O,OUTPUT,,,,,,,,,
P98,VCC,,VCCINT,,,,,,,,,,
P99,reset,GSR/I,I/O/GSR,,,,,,,,,,
P100,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


